date,ticker,horizon,screening_profile,validation_bucket,high_probability_score,calibrated_win_probability,signal_score,point_in_time_universe_member,forward_return_5d,forward_return_20d,forward_return_60d
2025-09-08,SBUX,medium,default,filtered_out,40.6,0.05,39.92,False,-0.0177023180154534,-0.0244742874043403,0.0195498909386668
2025-09-08,SBUX,long,default,filtered_out,42.54,0.4589,45.12,False,-0.0177023180154534,-0.0244742874043403,0.0195498909386668
2025-10-06,SBUX,short,default,filtered_out,42.89,0.4795,37.43,False,-0.0253318917140811,-0.0140055735789543,0.0329845251420255
2025-10-06,SBUX,medium,default,filtered_out,41.14,0.05,41.62,False,-0.0253318917140811,-0.0140055735789543,0.0329845251420255
2025-10-06,SBUX,long,default,filtered_out,43.17,0.4603,47.09,False,-0.0253318917140811,-0.0140055735789543,0.0329845251420255
2025-11-03,SBUX,short,default,filtered_out,41.96,0.4774,34.5,False,0.0449604361383888,0.0599742172843358,0.1439510935553589
2025-11-03,SBUX,medium,default,filtered_out,40.46,0.05,39.5,False,0.0449604361383888,0.0599742172843358,0.1439510935553589
2025-11-03,SBUX,long,default,filtered_out,42.54,0.4589,45.12,False,0.0449604361383888,0.0599742172843358,0.1439510935553589
2025-12-02,SBUX,short,default,early_watchlist,47.77,0.3695,39.26,False,-0.0342723070237098,-0.0116197608910498,0.1430047641572633
2025-12-02,SBUX,medium,default,filtered_out,37.74,0.05,45.76,False,-0.0342723070237098,-0.0116197608910498,0.1430047641572633
2025-12-02,SBUX,long,default,filtered_out,38.14,0.4377,46.14,False,-0.0342723070237098,-0.0116197608910498,0.1430047641572633
2025-12-31,SBUX,short,default,filtered_out,41.39,0.3341,35.72,False,0.0471441518129553,0.0919131650967999,0.036447682061623
2025-12-31,SBUX,medium,default,filtered_out,40.89,0.05,40.85,False,0.0471441518129553,0.0919131650967999,0.036447682061623
2025-12-31,SBUX,long,default,filtered_out,43.09,0.4601,46.84,False,0.0471441518129553,0.0919131650967999,0.036447682061623
2026-01-30,SBUX,short,default,filtered_out,42.22,0.4792,41.75,False,0.0815660256258952,0.0590973574529232,0.0647890515861859
2026-01-30,SBUX,medium,default,early_watchlist,53.18,0.4864,54.73,False,0.0815660256258952,0.0590973574529232,0.0647890515861859
2026-01-30,SBUX,long,default,early_watchlist,51.42,0.4732,56.73,False,0.0815660256258952,0.0590973574529232,0.0647890515861859
2026-03-02,SBUX,short,default,near_watchlist,58.22,0.4654,39.15,False,0.0311078329318224,-0.103761909010697,0.0613727507955863
2026-03-02,SBUX,medium,default,early_watchlist,60.34,0.3953,53.93,False,0.0311078329318224,-0.103761909010697,0.0613727507955863
2026-03-02,SBUX,long,default,early_watchlist,59.82,0.499,59.97,False,0.0311078329318224,-0.103761909010697,0.0613727507955863
2026-03-30,SBUX,short,default,filtered_out,42.41,0.3263,34.5,False,0.0979013002275155,0.1217712226103131,0.1965480654104792
2026-03-30,SBUX,medium,default,filtered_out,44.96,0.2832,43.66,False,0.0979013002275155,0.1217712226103131,0.1965480654104792
2026-03-30,SBUX,long,default,filtered_out,43.89,0.462,49.36,False,0.0979013002275155,0.1217712226103131,0.1965480654104792
2025-03-17,BKNG,short,default,filtered_out,42.63,0.489,37.02,False,0.0320661515745579,-0.001435327707263,0.1999230697451717
2025-03-17,BKNG,medium,default,filtered_out,43.95,0.5099,39.5,False,0.0320661515745579,-0.001435327707263,0.1999230697451717
2025-03-17,BKNG,long,default,filtered_out,42.26,0.4595,46.94,False,0.0320661515745579,-0.001435327707263,0.1999230697451717
2025-04-14,BKNG,short,default,filtered_out,44.08,0.4905,41.85,False,0.0090502260569182,0.154839813417418,0.2567854707922217
